match_id,date,match_type,venue,city,opponent,is_home,is_sena,india_won,toss_winner,toss_decision,india_xi,num_india_players
63963,2001-12-19,TEST,"M Chinnaswamy Stadium, Bangalore",Bengaluru,England,1,0,-1,England,bat,"['SS Das', 'D Dasgupta', 'VVS Laxman', 'SR Tendulkar', 'R Dravid', 'SC Ganguly', 'V Sehwag', 'A Kumble', 'Harbhajan Singh', 'Sarandeep Singh', 'J Srinath']",11
66284,2002-06-29,ODI,"Lord's, London",London,England,0,1,1,England,bat,"['SC Ganguly', 'V Sehwag', 'D Mongia', 'SR Tendulkar', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'Harbhajan Singh', 'Z Khan', 'A Kumble', 'AB Agarkar']",11
64814,2002-12-29,ODI,"McLean Park, Napier",Napier,New Zealand,0,0,0,India,field,"['SC Ganguly', 'V Sehwag', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'SB Bangar', 'Harbhajan Singh', 'Z Khan', 'J Srinath', 'A Nehra']",11
64815,2003-01-01,ODI,"Jade Stadium, Christchurch",Christchurch,New Zealand,0,1,0,India,bat,"['V Sehwag', 'SC Ganguly', 'VVS Laxman', 'R Dravid', 'M Kaif', 'Yuvraj Singh', 'SB Bangar', 'AB Agarkar', 'Z Khan', 'Harbhajan Singh', 'J Srinath']",11
64816,2003-01-04,ODI,"Davies Park, Queenstown",Queenstown,New Zealand,0,0,0,New Zealand,field,"['V Sehwag', 'R Dravid', 'D Mongia', 'M Kaif', 'SC Ganguly', 'Yuvraj Singh', 'PA Patel', 'AB Agarkar', 'Z Khan', 'J Srinath', 'A Nehra']",11
64817,2003-01-08,ODI,"Westpac Stadium, Wellington",Wellington,New Zealand,0,1,1,New Zealand,bat,"['SC Ganguly', 'V Sehwag', 'D Mongia', 'SR Tendulkar', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'A Kumble', 'Z Khan', 'J Srinath', 'A Nehra']",11
64819,2003-01-14,ODI,"Westpac Park, Hamilton",Hamilton,New Zealand,0,1,0,New Zealand,field,"['SC Ganguly', 'V Sehwag', 'SR Tendulkar', 'D Mongia', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'A Kumble', 'Z Khan', 'J Srinath', 'A Nehra']",11
65241,2003-02-12,ODI,"Boland Bank Park, Paarl",Paarl,Netherlands,0,0,1,India,bat,"['SC Ganguly', 'SR Tendulkar', 'V Sehwag', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'D Mongia', 'Harbhajan Singh', 'A Kumble', 'Z Khan', 'J Srinath']",11
65244,2003-02-15,ODI,"SuperSport Park, Centurion",Centurion,Australia,0,1,0,India,bat,"['SC Ganguly', 'SR Tendulkar', 'V Sehwag', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'D Mongia', 'A Kumble', 'Harbhajan Singh', 'Z Khan', 'J Srinath']",11
65250,2003-02-19,ODI,Harare Sports Club,Harare,Zimbabwe,0,0,1,Zimbabwe,field,"['V Sehwag', 'SR Tendulkar', 'D Mongia', 'SC Ganguly', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'Harbhajan Singh', 'Z Khan', 'A Nehra', 'J Srinath']",11
65257,2003-02-23,ODI,"City Oval, Pietermaritzburg",Pietermaritzburg,Namibia,0,1,1,Namibia,field,"['V Sehwag', 'SR Tendulkar', 'SC Ganguly', 'Yuvraj Singh', 'R Dravid', 'D Mongia', 'M Kaif', 'Harbhajan Singh', 'Z Khan', 'A Nehra', 'J Srinath']",11
65262,2003-02-26,ODI,"Kingsmead, Durban",Durban,England,0,1,1,India,bat,"['V Sehwag', 'SR Tendulkar', 'SC Ganguly', 'D Mongia', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'Harbhajan Singh', 'Z Khan', 'J Srinath', 'A Nehra']",11
65268,2003-03-01,ODI,"SuperSport Park, Centurion",Centurion,Pakistan,0,1,1,Pakistan,bat,"['SR Tendulkar', 'V Sehwag', 'SC Ganguly', 'M Kaif', 'R Dravid', 'Yuvraj Singh', 'D Mongia', 'A Kumble', 'Z Khan', 'J Srinath', 'A Nehra']",11
65276,2003-03-07,ODI,"Newlands, Cape Town",Cape Town,Kenya,0,1,1,Kenya,bat,"['V Sehwag', 'SR Tendulkar', 'SC Ganguly', 'M Kaif', 'R Dravid', 'Yuvraj Singh', 'D Mongia', 'Harbhajan Singh', 'Z Khan', 'A Nehra', 'J Srinath']",11
65278,2003-03-10,ODI,"New Wanderers Stadium, Johannesburg",Johannesburg,Sri Lanka,0,1,1,Sri Lanka,field,"['SR Tendulkar', 'V Sehwag', 'SC Ganguly', 'M Kaif', 'Yuvraj Singh', 'R Dravid', 'D Mongia', 'Harbhajan Singh', 'Z Khan', 'A Nehra', 'J Srinath']",11
65281,2003-03-14,ODI,"SuperSport Park, Centurion",Centurion,New Zealand,0,1,1,India,field,"['V Sehwag', 'SR Tendulkar', 'SC Ganguly', 'M Kaif', 'R Dravid', 'Yuvraj Singh', 'D Mongia', 'J Srinath', 'A Nehra', 'Z Khan', 'Harbhajan Singh']",11
65285,2003-03-20,ODI,"Kingsmead, Durban",Durban,Kenya,0,1,1,India,bat,"['V Sehwag', 'SR Tendulkar', 'SC Ganguly', 'M Kaif', 'Yuvraj Singh', 'R Dravid', 'D Mongia', 'J Srinath', 'A Nehra', 'Z Khan', 'Harbhajan Singh']",11
65286,2003-03-23,ODI,"New Wanderers Stadium, Johannesburg",Johannesburg,Australia,0,1,0,India,field,"['SR Tendulkar', 'V Sehwag', 'SC Ganguly', 'M Kaif', 'R Dravid', 'Yuvraj Singh', 'D Mongia', 'Harbhajan Singh', 'Z Khan', 'J Srinath', 'A Nehra']",11
66356,2003-04-21,ODI,"Bangabandhu National Stadium, Dhaka",Dhaka,South Africa,0,0,-1,India,bat,"['V Sehwag', 'G Gambhir', 'SC Ganguly', 'M Kaif', 'Yuvraj Singh', 'D Mongia', 'PA Patel', 'AB Agarkar', 'Harbhajan Singh', 'Z Khan', 'A Mishra']",11
64047,2003-10-16,TEST,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Chandigarh,New Zealand,1,0,-1,New Zealand,bat,"['A Chopra', 'V Sehwag', 'R Dravid', 'SR Tendulkar', 'VVS Laxman', 'Yuvraj Singh', 'PA Patel', 'A Kumble', 'Harbhajan Singh', 'L Balaji', 'Z Khan']",11
66364,2003-10-23,ODI,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,New Zealand,1,0,-1,India,bat,"['V Sehwag', 'SR Tendulkar', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'A Kumble', 'PA Patel', 'Harbhajan Singh', 'AB Agarkar', 'Z Khan']",11
66365,2003-10-26,ODI,"Captain Roop Singh Stadium, Gwalior",Gwalior,Australia,0,0,1,India,bat,"['V Sehwag', 'SR Tendulkar', 'VVS Laxman', 'Yuvraj Singh', 'AB Agarkar', 'M Kaif', 'PA Patel', 'R Dravid', 'Harbhajan Singh', 'A Kumble', 'Z Khan']",11
66367,2003-11-01,ODI,"Wankhede Stadium, Mumbai",Mumbai,Australia,1,0,0,Australia,bat,"['V Sehwag', 'SR Tendulkar', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'AB Agarkar', 'PA Patel', 'Harbhajan Singh', 'A Kumble', 'Z Khan']",11
66369,2003-11-06,ODI,"Barabati Stadium, Cuttack",Cuttack,New Zealand,1,0,0,India,bat,"['VVS Laxman', 'SR Tendulkar', 'M Kaif', 'R Dravid', 'Yuvraj Singh', 'HK Badani', 'SV Bahutule', 'AB Agarkar', 'Harbhajan Singh', 'Z Khan', 'M Kartik']",11
66372,2003-11-15,ODI,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Hyderabad,New Zealand,1,0,1,India,bat,"['V Sehwag', 'SR Tendulkar', 'SC Ganguly', 'Yuvraj Singh', 'R Dravid', 'VVS Laxman', 'M Kaif', 'AB Agarkar', 'A Kumble', 'M Kartik', 'Z Khan']",11
64059,2003-12-04,TEST,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia,0,1,-1,India,field,"['A Chopra', 'V Sehwag', 'R Dravid', 'SR Tendulkar', 'SC Ganguly', 'VVS Laxman', 'PA Patel', 'AB Agarkar', 'Harbhajan Singh', 'Z Khan', 'A Nehra']",11
64062,2004-01-02,TEST,Sydney Cricket Ground,Sydney,Australia,0,1,-1,India,bat,"['A Chopra', 'V Sehwag', 'R Dravid', 'SR Tendulkar', 'VVS Laxman', 'SC Ganguly', 'PA Patel', 'AB Agarkar', 'IK Pathan', 'A Kumble', 'M Kartik']",11
65643,2004-01-09,ODI,Melbourne Cricket Ground,Melbourne,Australia,0,1,0,Australia,bat,"['V Sehwag', 'SR Tendulkar', 'SC Ganguly', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'SB Bangar', 'AB Agarkar', 'IK Pathan', 'A Kumble', 'L Balaji']",11
65645,2004-01-14,ODI,Bellerive Oval,Hobart,Zimbabwe,0,1,1,Zimbabwe,bat,"['V Sehwag', 'SR Tendulkar', 'HK Badani', 'VVS Laxman', 'SC Ganguly', 'Yuvraj Singh', 'R Dravid', 'AB Agarkar', 'IK Pathan', 'L Balaji', 'A Kumble']",11
65647,2004-01-18,ODI,Brisbane Cricket Ground,Brisbane,Australia,0,1,1,India,bat,"['SC Ganguly', 'SR Tendulkar', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'RS Gavaskar', 'HK Badani', 'IK Pathan', 'A Kumble', 'L Balaji', 'A Nehra']",11
65648,2004-01-20,ODI,Brisbane Cricket Ground,Brisbane,Zimbabwe,0,1,1,India,bat,"['PA Patel', 'SC Ganguly', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'RS Gavaskar', 'HK Badani', 'IK Pathan', 'A Nehra', 'A Kumble', 'L Balaji']",11
65649,2004-01-22,ODI,Sydney Cricket Ground,Sydney,Australia,0,1,0,India,bat,"['SC Ganguly', 'PA Patel', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'RS Gavaskar', 'HK Badani', 'AB Agarkar', 'M Kartik', 'IK Pathan', 'L Balaji']",11
65653,2004-02-01,ODI,W.A.C.A. Ground,Perth,Australia,0,1,0,India,bat,"['V Sehwag', 'SR Tendulkar', 'VVS Laxman', 'R Dravid', 'SC Ganguly', 'Yuvraj Singh', 'RS Gavaskar', 'AB Agarkar', 'IK Pathan', 'M Kartik', 'L Balaji']",11
