match_id,date,year,match_type,coach,is_home,is_sena,player,selected,primary_role,batting_hand,bowling_style,career_caps,career_bat_avg,career_bat_sr,career_wickets,career_bowl_econ,recent_caps_1y,recent_format_caps_1y,recent_bat_avg_1y,recent_bat_sr_1y,recent_wickets_1y,recent_bowl_econ_1y,is_top_order,is_middle_order,is_wk,is_pace_ar,is_spin_ar,is_all_rounder,is_spec_pace,is_spec_spin,is_lhb,is_left_arm_pacer,is_wrist_spinner,is_finger_spinner
64814,2002-12-29,2002,ODI,John Wright,0,0,Z Khan,1,Specialist Fast Bowler,RHB,Left-Arm Fast,1,0.0,0.0,1,5.33,1,1,0.0,0.0,1,5.33,0,0,0,0,0,0,1,0,0,1,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,SC Ganguly,1,Middle-Order Batter,RHB,None,2,21.5,61.43,1,3.73,1,1,43.0,64.18,1,5.17,0,1,0,0,0,0,0,0,0,0,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,A Nehra,1,Specialist Fast Bowler,RHB,Left-Arm Fast,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,R Dravid,1,Top-Order Batter,RHB,Finger Spin,2,76.0,51.7,0,0.0,1,1,73.0,84.88,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1
64814,2002-12-29,2002,ODI,John Wright,0,0,AB Agarkar,0,Pace All-Rounder,RHB,Pace,1,0.0,0.0,0,6.12,1,1,0.0,0.0,0,6.12,0,0,0,1,0,1,0,0,0,0,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,SS Das,0,Middle-Order Batter,RHB,None,1,28.0,26.67,0,0.0,0,0,28.0,26.67,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,SR Tendulkar,0,Top-Order Batter,RHB,Wrist Spin,2,45.5,43.96,0,6.33,1,1,1.0,43.96,0,6.33,1,0,0,0,0,0,0,0,0,0,1,0
64814,2002-12-29,2002,ODI,John Wright,0,0,Harbhajan Singh,1,Specialist Spin Bowler,RHB,Finger Spin,2,8.0,29.63,0,2.96,1,1,0.0,29.63,0,5.0,0,0,0,0,0,0,0,1,0,0,0,1
64814,2002-12-29,2002,ODI,John Wright,0,0,A Kumble,0,Specialist Spin Bowler,RHB,Wrist Spin,2,14.0,33.33,1,3.04,1,1,0.0,33.33,0,4.6,0,0,0,0,0,0,0,1,0,0,1,0
64814,2002-12-29,2002,ODI,John Wright,0,0,VVS Laxman,1,Middle-Order Batter,RHB,Finger Spin,1,12.0,66.67,0,0.0,0,0,12.0,66.67,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1
64814,2002-12-29,2002,ODI,John Wright,0,0,Sarandeep Singh,0,Middle-Order Batter,RHB,None,1,4.0,25.0,4,2.57,0,0,4.0,25.0,0,2.57,0,1,0,0,0,0,0,0,0,0,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,SB Bangar,1,Middle-Order Batter,RHB,None,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,V Sehwag,1,Top-Order Batter,RHB,Finger Spin,2,68.5,89.54,0,1.0,1,1,71.0,109.23,0,1.0,1,0,0,0,0,0,0,0,0,0,0,1
64814,2002-12-29,2002,ODI,John Wright,0,0,D Dasgupta,0,Wicketkeeper,RHB,None,1,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,Yuvraj Singh,1,Middle-Order Batter,LHB,Finger Spin,1,64.0,98.46,3,5.57,1,1,64.0,98.46,3,5.57,0,1,0,0,0,0,0,0,1,0,0,1
64814,2002-12-29,2002,ODI,John Wright,0,0,M Kaif,1,Middle-Order Batter,RHB,Finger Spin,1,0.0,0.0,0,0.0,1,1,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1
64814,2002-12-29,2002,ODI,John Wright,0,0,J Srinath,1,Middle-Order Batter,RHB,None,1,2.0,40.0,4,2.79,0,0,2.0,40.0,0,2.79,0,1,0,0,0,0,0,0,0,0,0,0
64814,2002-12-29,2002,ODI,John Wright,0,0,D Mongia,0,Middle-Order Batter,RHB,None,1,1.0,20.0,0,0.0,1,1,1.0,20.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
64815,2003-01-01,2003,ODI,John Wright,0,1,Z Khan,1,Specialist Fast Bowler,RHB,Left-Arm Fast,2,11.0,84.62,4,5.0,2,2,11.0,84.62,4,5.0,0,0,0,0,0,0,1,0,0,1,0,0
64815,2003-01-01,2003,ODI,John Wright,0,1,SC Ganguly,1,Middle-Order Batter,RHB,None,3,14.33,58.9,2,3.89,2,2,21.5,61.43,2,4.91,0,1,0,0,0,0,0,0,0,0,0,0
64815,2003-01-01,2003,ODI,John Wright,0,1,A Nehra,0,Specialist Fast Bowler,RHB,Left-Arm Fast,1,0.0,0.0,0,5.25,1,1,0.0,0.0,0,5.25,0,0,0,0,0,0,1,0,0,1,0,0
64815,2003-01-01,2003,ODI,John Wright,0,1,R Dravid,1,Top-Order Batter,RHB,Finger Spin,3,47.0,54.02,0,0.0,2,2,91.0,80.53,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1
64815,2003-01-01,2003,ODI,John Wright,0,1,AB Agarkar,1,Pace All-Rounder,RHB,Pace,1,0.0,0.0,0,6.12,1,1,0.0,0.0,0,6.12,0,0,0,1,0,1,0,0,0,0,0,0
64815,2003-01-01,2003,ODI,John Wright,0,1,SS Das,0,Middle-Order Batter,RHB,None,1,28.0,26.67,0,0.0,0,0,28.0,26.67,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
